product,total_complaints,avg_response_days,timely_response_rate,avg_intensity_score
checking or savings account,24814,1.2332957201579753,0.9640308662462662,17.711654711050212
credit card or prepaid card,16197,1.1273692659134407,0.9563509661070637,20.977094523677223
"credit reporting, credit repair services, or other personal consumer reports",7710,0.7400778210116732,0.9368351063829787,24.642282749675747
debt collection,2736,1.6432748538011697,0.9356159285448455,19.191154970760234
"money transfer, virtual currency, or money service",3453,1.0640023168259485,0.958628841607565,18.330726904141326
mortgage,6601,1.8607786698985003,0.9975591151792524,15.134070595364339
"payday loan, title loan, or personal loan",333,1.6756756756756757,0.9697885196374623,20.44744744744745
student loan,39,2.128205128205128,1.0,19.71794871794872
vehicle loan or lease,633,1.4407582938388626,0.946515397082658,19.12006319115324
